"id","year","month","element","day","value"
"MX17004",2010,12,"tmax","d1",29.9
"MX17004",2010,12,"tmin","d1",13.8
"MX17004",2010,2,"tmax","d2",27.3
"MX17004",2010,2,"tmin","d2",14.4
"MX17004",2010,11,"tmax","d2",31.3
"MX17004",2010,11,"tmin","d2",16.3
"MX17004",2010,2,"tmax","d3",24.1
"MX17004",2010,2,"tmin","d3",14.4
"MX17004",2010,7,"tmax","d3",28.6
"MX17004",2010,7,"tmin","d3",17.5
"MX17004",2010,11,"tmax","d4",27.2
"MX17004",2010,11,"tmin","d4",12
"MX17004",2010,3,"tmax","d5",32.1
"MX17004",2010,3,"tmin","d5",14.2
"MX17004",2010,8,"tmax","d5",29.6
"MX17004",2010,8,"tmin","d5",15.8
"MX17004",2010,10,"tmax","d5",27
"MX17004",2010,10,"tmin","d5",14
"MX17004",2010,11,"tmax","d5",26.3
"MX17004",2010,11,"tmin","d5",7.9
"MX17004",2010,12,"tmax","d6",27.8
"MX17004",2010,12,"tmin","d6",10.5
"MX17004",2010,10,"tmax","d7",28.1
"MX17004",2010,10,"tmin","d7",12.9
"MX17004",2010,8,"tmax","d8",29
"MX17004",2010,8,"tmin","d8",17.3
"MX17004",2010,3,"tmax","d10",34.5
"MX17004",2010,3,"tmin","d10",16.8
"MX17004",2010,2,"tmax","d11",29.7
"MX17004",2010,2,"tmin","d11",13.4
"MX17004",2010,8,"tmax","d13",29.8
"MX17004",2010,8,"tmin","d13",16.5
"MX17004",2010,7,"tmax","d14",29.9
"MX17004",2010,7,"tmin","d14",16.5
"MX17004",2010,10,"tmax","d14",29.5
"MX17004",2010,10,"tmin","d14",13
"MX17004",2010,10,"tmax","d15",28.7
"MX17004",2010,10,"tmin","d15",10.5
"MX17004",2010,3,"tmax","d16",31.1
"MX17004",2010,3,"tmin","d16",17.6
"MX17004",2010,6,"tmax","d17",28
"MX17004",2010,6,"tmin","d17",17.5
"MX17004",2010,2,"tmax","d23",29.9
"MX17004",2010,2,"tmin","d23",10.7
"MX17004",2010,8,"tmax","d23",26.4
"MX17004",2010,8,"tmin","d23",15
"MX17004",2010,8,"tmax","d25",29.7
"MX17004",2010,8,"tmin","d25",15.6
"MX17004",2010,11,"tmax","d26",28.1
"MX17004",2010,11,"tmin","d26",12.1
"MX17004",2010,4,"tmax","d27",36.3
"MX17004",2010,4,"tmin","d27",16.7
"MX17004",2010,5,"tmax","d27",33.2
"MX17004",2010,5,"tmin","d27",18.2
"MX17004",2010,11,"tmax","d27",27.7
"MX17004",2010,11,"tmin","d27",14.2
"MX17004",2010,10,"tmax","d28",31.2
"MX17004",2010,10,"tmin","d28",15
"MX17004",2010,6,"tmax","d29",30.1
"MX17004",2010,6,"tmin","d29",18
"MX17004",2010,8,"tmax","d29",28
"MX17004",2010,8,"tmin","d29",15.3
"MX17004",2010,1,"tmax","d30",27.8
"MX17004",2010,1,"tmin","d30",14.5
"MX17004",2010,8,"tmax","d31",25.4
"MX17004",2010,8,"tmin","d31",15.4
